"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","Th1_changes_new","Th2_changes_new","loglike_rank","loglike_rank_new","distance","source_folder","calibration_file"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-nitrendipine-ranolazine-risperidone-verapamil","1    (0.964 - 1   )","1    (1    - 1   )","1    (0.966 - 1   )","8.57e+05 (8.57e+05 - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0562 (0.0532 - 0.0593)",0.964,1,0.966,857000,0.143,667000,0.333,0.0593,1,1,0.448,1e+06,1e-06,667000,1.14e-06,0.00608,22.7794832228096,-29.3635617387675,18.8739832678885,-35.7918880173116,0.206925051245849,0.17960288307325,0.0371643357838345,-9.90519379031561e-07,11,0.9,0.251860976972978,0.289199682560689,19,0.0216346153846154,0.384107360900343,"results_get_calibration_drugs/tms_metrics_6_13.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-nitrendipine-ranolazine-risperidone-verapamil","1    (0.958 - 1   )","1    (1    - 1   )","1    (0.955 - 1   )","8.33e+05 (3.98 - 1e+06)","0.167 (1e-06 - 0.168)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0761 (0.0725 - 0.0798)",0.958,1,0.955,3.98,0.168,7,0.333,0.0798,1,1,0.409,4,1.33e-06,667000,1.17e-06,0.00783,20.4878978413714,-24.3929090797768,16.7341919366663,-34.9471738580715,0.224313544323603,0.302006245802823,0.0677440914038965,-1.31064770038309e-06,10,0.833333333333333,0.285705078826016,0.322442894935922,16,0.0602409638554217,0.43500090377822,"results_get_calibration_drugs/tms_metrics_6_130.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-ranolazine-risperidone-vandetanib-verapamil","1    (0.889 - 1   )","1    (1    - 1   )","1    (0.909 - 1   )","8.33e+05 (2.5  - 1e+06)","0.167 (1e-06 - 0.25)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.129 (0.124 - 0.134)",0.889,1,0.909,2.5,0.25,667000,0.333,0.134,0.944,1,0.318,3,0.167,1e+06,1e-06,0.0267,14.3689566755477,-23.7742152973637,13.8968319681403,-30.4270235646461,0.0339735494024649,0.218648013768013,0.00742824909749841,-3.98299146039053e-06,9,0.766666666666667,0.0641774913424269,0,3,0.285714285714286,0.29283340563575,"results_get_calibration_drugs/tms_metrics_6_131.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-nitrendipine-ranolazine-risperidone-vandetanib-verapamil","0.958 (0.875 - 1   )","1    (1    - 1   )","0.964 (0.893 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.00833)","0.115 (0.11 - 0.119)",0.875,1,0.893,3.33,0.222,7,0.00833,0.119,0.958,1,0.321,4,0.167,1e+06,1e-06,0.0267,13.4634913667292,-22.0055009092685,13.1640791361845,-28.4168025017619,0.0227446392145784,0.2256165728743,0.00513156755085559,-3.46005251854782e-06,10,0.766666666666667,0.218571566609281,0.48282623188178,2,0.0666666666666667,0.534171455964879,"results_get_calibration_drugs/tms_metrics_6_132.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-clozapine-diltiazem-dofetilide-metoprolol-nitrendipine-ranolazine","0.958 (0.833 - 1   )","1    (1    - 1   )","0.96 (0.84 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.119 (0.114 - 0.123)",0.833,1,0.84,3.33,0.222,667000,0.333,0.123,0.958,1,0.36,4,0.167,1e+06,1e-06,0.0332,16.2259225286567,-25.1456860477334,15.616602536748,-33.8776242035552,0.0390174489281458,0.257749424911131,0.010056725022729,-4.25585093061162e-06,10,0.7,0.0490095981913702,0.111138660778177,398,0.255963894261767,0.283321827256735,"results_get_calibration_drugs/tms_metrics_6_133.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.958 (0.875 - 1   )","1    (1    - 1   )","0.962 (0.885 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.119 (0.114 - 0.123)",0.875,1,0.885,3.33,0.222,667000,0.333,0.123,0.958,1,0.308,4,0.167,1e+06,1e-06,0.0312,14.2951252203021,-22.4969338993768,13.8798601043814,-29.8749454651291,0.0299185375643419,0.246963181049625,0.00738877720924255,-3.81977514773823e-06,10,0.7,0.0379408193520231,0.15133620344684,4,0.176470588235294,0.235550463295908,"results_get_calibration_drugs/tms_metrics_6_135.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-nitrendipine-ranolazine-risperidone-vandetanib-verapamil","1    (0.875 - 1   )","1    (1    - 1   )","1    (0.893 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.112 (0.108 - 0.117)",0.875,1,0.893,3.33,0.222,7,0.333,0.117,0.958,1,0.321,4,0.167,1e+06,1e-06,0.0245,14.9773062767189,-24.4309998434632,14.8253695022961,-33.175465561174,0.0102484308670508,0.263582306074543,0.00270130504158279,-3.33858163315616e-06,10,0.7,0.218628206029206,0.46934904720967,3,0.133333333333333,0.534663069947749,"results_get_calibration_drugs/tms_metrics_6_136.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-clozapine-diltiazem-dofetilide-nitrendipine-ranolazine-verapamil","1    (0.875 - 1   )","1    (1    - 1   )","1    (0.864 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0761 (0.0724 - 0.0797)",0.875,1,0.864,3.33,0.222,7,0.333,0.0797,1,1,0.364,4,0.167,667000,1.17e-06,0.014,20.8151793736771,-26.5867646494653,17.1377060481549,-33.6774521443311,0.214583755561505,0.210547029047131,0.0451799722152506,-1.80478506955359e-06,10,0.7,0.291045118938595,0.0694634555089977,60,0.0889894419306184,0.312172314090078,"results_get_calibration_drugs/tms_metrics_6_137.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.958 (0.875 - 1   )","1    (1    - 1   )","0.962 (0.885 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.114 (0.11 - 0.119)",0.875,1,0.885,3.33,0.222,7,0.333,0.119,0.958,1,0.308,4,0.167,1e+06,1e-06,0.0257,15.4381007464213,-24.7708023995484,15.0428847631121,-32.8887444358538,0.0262726192171823,0.246830402788364,0.00648488118368242,-3.38256764821659e-06,10,0.7,0.0138115237475394,0.141607347656129,50,0.636363636363636,0.652075207920362,"results_get_calibration_drugs/tms_metrics_6_139.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-nitrendipine-ranolazine-risperidone-verapamil","1    (0.964 - 1   )","1    (1    - 1   )","1    (0.966 - 1   )","8.57e+05 (8.57e+05 - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0551 (0.0521 - 0.0582)",0.964,1,0.966,857000,0.143,667000,0.333,0.0582,1,1,0.448,1e+06,1e-06,667000,1.14e-06,0.00608,23.7654055130527,-30.6978490687296,19.6832276903762,-37.5417324549715,0.207393720526456,0.18230068083434,0.0378080164527397,-9.85785749851503e-07,11,0.9,0.253886208767876,0.278980011801912,10,0.0104046242774566,0.377354356267256,"results_get_calibration_drugs/tms_metrics_6_14.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-ranolazine-risperidone-verapamil","1    (0.944 - 1   )","1    (1    - 1   )","1    (0.938 - 1   )","8.33e+05 (3    - 1e+06)","0.167 (1e-06 - 0.167)","1e+06 (6    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0799 (0.076 - 0.0839)",0.944,1,0.938,3,0.167,6,0.333,0.0839,1,1,0.375,996000,1.01e-06,667000,1.2e-06,0.00719,20.0512669117348,-24.268668036849,16.3987949860491,-34.1186736989885,0.222728068055791,0.288698375237004,0.0643012313673836,-1.37432007554255e-06,9,0.833333333333333,0.290072672932786,0.350113466110697,28,0.111570247933884,0.468155438885895,"results_get_calibration_drugs/tms_metrics_6_140.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-clozapine-dofetilide-nifedipine-nitrendipine-ranolazine-verapamil","1    (0.917 - 1   )","1    (1    - 1   )","1    (0.92 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0832 (0.0794 - 0.087)",0.917,1,0.92,3.33,0.222,667000,0.333,0.087,0.958,1,0.36,4,0.167,992000,1e-06,0.0173,21.8686738050049,-27.5590484353947,18.3424852489586,-38.928780916326,0.192241591484804,0.292064950746069,0.0561470309483553,-2.6368390066172e-06,10,0.8,0.263439187018326,0.310207987023603,244,0.183534743202417,0.446446192090928,"results_get_calibration_drugs/tms_metrics_6_141.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.964 (0.893 - 1   )","1    (1    - 1   )","0.966 (0.897 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (7.5e+05 - 1e+06)","1e-06 (1e-06 - 0.25)","0.11 (0.106 - 0.114)",0.893,1,0.897,3.43,0.19,750000,0.25,0.114,0.964,1,0.31,4,0.143,750000,0.00625,0.0313,20.8240259271975,-29.9590262481208,19.7576326138285,-42.5697471668627,0.0539737393751649,0.296236688212197,0.0159890018029271,-3.60367104934873e-06,11,0.733333333333333,0.0472621226872987,0.2453643099416,89,0.486187845303867,0.546640625781916,"results_get_calibration_drugs/tms_metrics_6_143.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-diltiazem-droperidol-nitrendipine-ranolazine-risperidone","1    (1    - 1   )","1    (1    - 1   )","1    (1    - 1   )","1e+06 (8e+05 - 1e+06)","1e-06 (1e-06 - 0.2 )","1e+06 (5e+05 - 1e+06)","1e-06 (1e-06 - 0.0125)","0.0414 (0.0383 - 0.0445)",1,1,1,8e+05,0.2,5e+05,0.0125,0.0445,1,1,0.474,1e+06,1e-06,1e+06,1e-06,0.0042,17.5825116773547,-21.9350480078765,14.5275140112172,-31.8774309349519,0.210290464272045,0.311894109263808,0.0655883570408021,-9.05457864702299e-07,8,0.933333333333333,0.115979961433797,0.00350564024936667,3,0.222222222222222,0.250691756978816,"results_get_calibration_drugs/tms_metrics_6_144.csv","calibration_drugs.csv"
"astemizole-bepridil-droperidol-metoprolol-nitrendipine-risperidone-vandetanib-verapamil","0.933 (0.8  - 1   )","1    (1    - 1   )","0.95 (0.85 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5e+05 - 1e+06)","1e-06 (1e-06 - 0.0125)","0.142 (0.137 - 0.148)",0.8,1,0.85,2.4,0.3,5e+05,0.0125,0.148,0.933,1,0.4,3,0.2,1e+06,1e-06,0.0439,14.5454993349008,-24.1991097015047,13.8831201829212,-28.9638904125299,0.0477111156031377,0.164507621150367,0.00784884213030234,-6.55438422034065e-06,8,0.766666666666667,0.110840361806332,0,2,0.142857142857143,0.180814128515072,"results_get_calibration_drugs/tms_metrics_6_145.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-diltiazem-droperidol-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.958 (0.875 - 1   )","1    (1    - 1   )","0.967 (0.9  - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.11 (0.106 - 0.115)",0.875,1,0.9,3.33,0.222,667000,0.333,0.115,0.958,1,0.367,4,0.167,1e+06,1e-06,0.0337,13.4872363061703,-22.0382208534965,13.0145531279381,-27.1204066756581,0.0363195857426344,0.187393422338432,0.00680605147022638,-4.03787924739822e-06,10,0.766666666666667,0.0592419515638218,0.0599413757357948,3,0.0606060606060606,0.103805933994042,"results_get_calibration_drugs/tms_metrics_6_147.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-ranolazine-risperidone-verapamil","1    (0.952 - 1   )","1    (1    - 1   )","1    (0.955 - 1   )","1e+06 (8.57e+05 - 1e+06)","1e-06 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0558 (0.0527 - 0.059)",0.952,1,0.955,857000,0.143,667000,0.333,0.059,1,1,0.409,1e+06,1e-06,667000,1.17e-06,0.00548,19.6847545473941,-25.9194687512842,16.2214486342176,-35.8798550075377,0.213501641639516,0.277603860276499,0.0592688798944993,-1.00279713004083e-06,10,0.9,0.266952898183254,0.317236333556868,12,0.064327485380117,0.419572123183097,"results_get_calibration_drugs/tms_metrics_6_148.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-ranolazine-risperidone-vandetanib-verapamil","1    (0.889 - 1   )","1    (1    - 1   )","1    (0.909 - 1   )","8.33e+05 (2.5  - 1e+06)","0.167 (1e-06 - 0.25)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.13 (0.125 - 0.135)",0.889,1,0.909,2.5,0.25,667000,0.333,0.135,0.944,1,0.318,3,0.167,1e+06,1e-06,0.0275,14.2646771908595,-23.5479285647473,13.7082835774606,-29.9571262652227,0.0405881312751467,0.213945678358203,0.00868365527895306,-4.08476341755266e-06,9,0.766666666666667,1,0,1,0,1,"results_get_calibration_drugs/tms_metrics_6_149.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-nitrendipine-ranolazine-risperidone-verapamil","1    (0.964 - 1   )","1    (1    - 1   )","1    (0.966 - 1   )","8.57e+05 (8.57e+05 - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0558 (0.0528 - 0.0589)",0.964,1,0.966,857000,0.143,667000,0.333,0.0589,1,1,0.448,1e+06,1e-06,667000,1.14e-06,0.00598,21.150875424056,-27.2700049047737,17.5670361182691,-33.1316271815044,0.204009332118343,0.17691923927005,0.0360931758423683,-9.70898707743516e-07,11,0.9,0.247032634736838,0.276359336871747,36,0.0411280846063455,0.372949225826523,"results_get_calibration_drugs/tms_metrics_6_15.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-loratadine-nitrendipine-ranolazine-risperidone","0.958 (0.958 - 1   )","1    (1    - 1   )","0.96 (0.959 - 1   )","3.33 (3.33 - 4   )","0.222 (1.33e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.178 (0.173 - 0.184)",0.958,1,0.959,3.33,0.222,7,0.333,0.184,1,1,0.36,833000,0.167,667000,1.17e-06,0.00821,17.2745484603924,-22.2329295303443,15.4144215797326,-33.6105647237244,0.120674452235401,0.338513657443818,0.040849950186235,-1.47717640296706e-06,10,0.8,0.332015265090046,0.480517583182772,14,0.180555555555556,0.611335908190089,"results_get_calibration_drugs/tms_metrics_6_150.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-metoprolol-nitrendipine-ranolazine-risperidone-vandetanib","0.958 (0.875 - 1   )","1    (1    - 1   )","0.964 (0.893 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.118 (0.113 - 0.122)",0.875,1,0.893,3.33,0.222,7,0.333,0.122,0.958,1,0.321,4,0.167,1e+06,1e-06,0.0291,13.3689738453274,-21.8188092155,13.0412821831128,-28.3435786717347,0.0251272580114066,0.230202739456521,0.00578436362925661,-3.64874467518783e-06,10,0.7,0.00678177199663059,0.129679270406054,26,0.446428571428571,0.464931365894167,"results_get_calibration_drugs/tms_metrics_6_151.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-nitrendipine-ranolazine-risperidone-verapamil","1    (0.964 - 1   )","1    (1    - 1   )","1    (0.966 - 1   )","8.57e+05 (4    - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.062 (0.0588 - 0.0652)",0.964,1,0.966,4,0.143,667000,0.333,0.0652,1,1,0.448,4,1.33e-06,667000,1.14e-06,0.00776,20.0029452957829,-24.8288859616477,16.6866890641262,-30.0622151552931,0.198736622880217,0.174083285832779,0.0345967243262979,-1.22887449220933e-06,11,0.833333333333333,0.251740299523033,0.369254294925544,36,0.0472334682860999,0.449391714711387,"results_get_calibration_drugs/tms_metrics_6_152.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-droperidol-ranolazine-risperidone-vandetanib-verapamil","1    (0.952 - 1   )","1    (1    - 1   )","1    (0.962 - 1   )","1e+06 (3    - 1e+06)","1e-06 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0531 (0.05 - 0.0562)",0.952,1,0.962,3,0.143,667000,0.333,0.0562,1,1,0.346,1e+06,1e-06,667000,1.17e-06,0.00614,19.4105975480494,-25.6171265156903,16.0061928280578,-32.4754060464498,0.212692971811751,0.211183796161009,0.0449173092039722,-1.13305840111642e-06,10,0.833333333333333,0.29570406981629,0.570334885570131,45,0.148148148148148,0.659295572868449,"results_get_calibration_drugs/tms_metrics_6_153.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-droperidol-nitrendipine-ranolazine-risperidone-vandetanib-verapamil","1    (0.964 - 1   )","1    (1    - 1   )","1    (0.97 - 1   )","8.57e+05 (8.57e+05 - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0578 (0.0547 - 0.0609)",0.964,1,0.97,857000,0.143,667000,0.333,0.0609,1,1,0.394,1e+06,1e-06,667000,1.14e-06,0.00568,17.9044272973889,-23.0996093936008,14.8697322805698,-27.7065994774067,0.20408538362083,0.166277716165155,0.0339348514911612,-9.75360203209302e-07,11,0.9,0.261210933133446,0.431179770516154,38,0.106628242074928,0.515283153323295,"results_get_calibration_drugs/tms_metrics_6_154.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-droperidol-metoprolol-ranolazine-risperidone-vandetanib-verapamil","1    (0.893 - 1   )","1    (1    - 1   )","1    (0.909 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0952 (0.0913 - 0.0991)",0.893,1,0.909,3.43,0.19,667000,0.333,0.0991,0.964,1,0.364,4,0.143,1e+06,1e-06,0.0254,14.8104935632706,-24.8611671684547,14.9284439499749,-29.4676871494789,0.00790105031037095,0.156324449817084,0.00123512734274584,-3.09132671665702e-06,11,0.8,0.00891245647820351,0.0622079934986787,55,0.352941176470588,0.358492315655511,"results_get_calibration_drugs/tms_metrics_6_155.csv","calibration_drugs.csv"
"astemizole-azimilide-cisapride-diltiazem-dofetilide-droperidol-metoprolol-nitrendipine-risperidone-vandetanib-verapamil","0.964 (0.857 - 1   )","1    (1    - 1   )","0.971 (0.886 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.106 (0.101 - 0.11)",0.857,1,0.886,3.43,0.19,667000,0.333,0.11,0.964,1,0.371,4,0.143,1e+06,1e-06,0.026,14.6402522121667,-20.9647147367849,13.9629397536685,-24.6083982202506,0.0485078694348936,0.148066666137873,0.0071823985086759,-3.3061771608311e-06,11,0.733333333333333,0.065576538490341,0.0138597496913724,407,0.347602739726027,0.354005705783004,"results_get_calibration_drugs/tms_metrics_6_157.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-dofetilide-droperidol-nitrendipine-ranolazine-risperidone-verapamil","1    (0.952 - 1   )","1    (1    - 1   )","1    (0.96 - 1   )","8.57e+05 (3    - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0651 (0.0617 - 0.0685)",0.952,1,0.96,3,0.143,667000,0.333,0.0685,1,1,0.4,3,1.5e-06,667000,1.17e-06,0.00756,22.2011571415889,-28.876271473896,18.5383047434421,-35.4709313842116,0.197582920813862,0.185917303351413,0.036734083826009,-1.31094359180153e-06,10,0.833333333333333,0.255359071372995,0.314650447908065,31,0.0452488687782805,0.407750683416887,"results_get_calibration_drugs/tms_metrics_6_158.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-loratadine-ranolazine-risperidone-verapamil","0.964 (0.929 - 1   )","1    (1    - 1   )","0.966 (0.931 - 1   )","8.57e+05 (4    - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.063 (0.0598 - 0.0662)",0.929,1,0.931,4,0.143,667000,0.333,0.0662,1,1,0.414,857000,0.143,667000,1.14e-06,0.0114,21.4122704515288,-29.242635675858,19.1249249057678,-35.0100042215808,0.119600236708443,0.164734871473329,0.019702329622345,-1.62073661507381e-06,11,0.833333333333333,0.150018365461777,0.231785759500526,98,0.119458128078818,0.300832831730771,"results_get_calibration_drugs/tms_metrics_6_159.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-nitrendipine-ranolazine-risperidone-verapamil","1    (0.964 - 1   )","1    (1    - 1   )","1    (0.966 - 1   )","8.57e+05 (8.57e+05 - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0556 (0.0526 - 0.0587)",0.964,1,0.966,857000,0.143,667000,0.333,0.0587,1,1,0.448,1e+06,1e-06,667000,1.14e-06,0.00603,21.5556948368891,-27.8224795069749,17.9655809558826,-34.0353836020842,0.19983288543925,0.182542502465842,0.0364779949830507,-9.72482610497062e-07,11,0.9,0.242645700523697,0.280487144042224,36,0.0401836969001148,0.373047856785372,"results_get_calibration_drugs/tms_metrics_6_16.csv","calibration_drugs.csv"
"azimilide-bepridil-cisapride-metoprolol-nitrendipine-ranolazine-risperidone","0.917 (0.75 - 1   )","1    (0.9  - 1   )","0.923 (0.769 - 1   )","7.5e+05 (2.25 - 7.5e+05)","0.25 (0.25 - 0.375)","2.5e+05 (5    - 1e+06)","1.25e-06 (1e-06 - 0.0125)","0.241 (0.234 - 0.248)",0.75,0.9,0.769,2.25,0.375,5,0.0125,0.248,0.917,1,0.308,3,0.25,1e+06,1e-06,0.0265,12.0529615004222,-16.5766131173823,12.1884152619321,-25.7442626317218,0.0111133201978274,0.356104567665622,0.00395750408437696,-5.45649979020886e-06,7,0.666666666666667,0,1,1,0,1,"results_get_calibration_drugs/tms_metrics_6_161.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-loratadine-nitrendipine-risperidone-verapamil","0.964 (0.929 - 1   )","1    (1    - 1   )","0.969 (0.938 - 1   )","8.57e+05 (4    - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.068 (0.0647 - 0.0714)",0.929,1,0.938,4,0.143,667000,0.333,0.0714,1,1,0.406,4,0.143,667000,1.14e-06,0.0121,21.1727214408718,-26.6688491884786,18.3287470769379,-31.9607456374718,0.155164690308393,0.165574874535742,0.0256913741301893,-1.71870983996215e-06,11,0.833333333333333,0.193434528041471,0.253265805212724,99,0.118072289156627,0.339855190037407,"results_get_calibration_drugs/tms_metrics_6_163.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-clozapine-diltiazem-droperidol-nitrendipine-ranolazine-vandetanib-verapamil","1    (0.929 - 1   )","1    (1    - 1   )","1    (0.939 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (8    - 1e+06)","1e-06 (1e-06 - 0.333)","0.06 (0.0569 - 0.0631)",0.929,1,0.939,3.43,0.19,8,0.333,0.0631,1,1,0.364,4,0.143,667000,0.333,0.0144,20.2694139775944,-24.1177024537,16.8629091506742,-27.722829617696,0.202011693028902,0.130041818014664,0.0262699678216987,-1.97948701778839e-06,11,0.833333333333333,0.263259856973023,0.132075069275585,282,0.129195402298851,0.321622493294187,"results_get_calibration_drugs/tms_metrics_6_164.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-nitrendipine-ranolazine-risperidone-verapamil","1    (0.929 - 1   )","1    (1    - 1   )","1    (0.931 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0622 (0.059 - 0.0654)",0.929,1,0.931,3.43,0.19,667000,0.333,0.0654,1,1,0.414,4,0.00357,667000,1.14e-06,0.00957,20.5994270177596,-25.4784173107901,17.1924778720209,-31.1624765289942,0.198165102849029,0.182400754090117,0.0361454641940085,-1.33790658388457e-06,11,0.833333333333333,0.252923080472514,0.397247236865197,61,0.0808625336927224,0.477822353168985,"results_get_calibration_drugs/tms_metrics_6_165.csv","calibration_drugs.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-nitrendipine-ranolazine-risperidone-verapamil","1    (0.929 - 1   )","1    (1    - 1   )","1    (0.931 - 1   )","8.57e+05 (4    - 1e+06)","0.143 (1e-06 - 0.143)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.0628 (0.0596 - 0.066)",0.929,1,0.931,4,0.143,667000,0.333,0.066,1,1,0.414,4,1.33e-06,667000,1.14e-06,0.00908,20.8933970636681,-26.0317947442197,17.321995714569,-31.5253066211022,0.206177244697925,0.174257206849981,0.0359278707770855,-1.26834835084131e-06,11,0.833333333333333,0.266715851917113,0.450708304667918,51,0.0843170320404722,0.530457051468462,"results_get_calibration_drugs/tms_metrics_6_166.csv","calibration_drugs.csv"
