"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","Th1_changes_new","Th2_changes_new","loglike_rank","loglike_rank_new","distance","source_folder","calibration_file"
"azimilide-clozapine-droperidol-loratadine-metoprolol-nitrendipine-quinidine","0.917 (0.75 - 1   )","1    (1    - 1   )","0.938 (0.812 - 1   )","7.5e+05 (2.25 - 1e+06)","0.25 (1e-06 - 0.375)","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.0125)","0.187 (0.181 - 0.194)",0.75,1,0.812,2.25,0.375,5,0.0125,0.194,0.917,1,0.312,2.25,0.375,1e+06,1e-06,0.0524,11.2804387061404,-18.5205917340506,12.0290899846228,-23.3565183109019,0.0622367344029698,0.207048264320887,0.0128860078351349,-9.87083862346009e-06,7,0.733333333333333,0.00082799526183892,0,7,0.75,0.75000045705063,"results_get_calibration_drugs/tms_metrics_4_182.csv","calibration_drugs.csv"
"azimilide-dofetilide-droperidol-metoprolol-ondansetron-quinidine-ranolazine-risperidone-verapamil","0.944 (0.833 - 1   )","1    (1    - 1   )","0.947 (0.842 - 1   )","8.33e+05 (2.5  - 1e+06)","0.167 (1e-06 - 0.25)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.127 (0.122 - 0.131)",0.833,1,0.842,2.5,0.25,667000,0.333,0.131,0.944,1,0.368,2.5,0.25,1e+06,1e-06,0.0484,12.6866818907662,-17.3348630743478,12.663564308569,-23.6240849908257,0.00182551939042239,0.266220762366895,0.000485991163833798,-6.06947257113596e-06,9,0.7,0,0,3,1,1,"results_get_calibration_drugs/tms_metrics_4_184.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-droperidol-metoprolol-nitrendipine-ranolazine","0.917 (0.75 - 1   )","1    (1    - 1   )","0.933 (0.8  - 1   )","7.5e+05 (2.25 - 1e+06)","0.25 (1e-06 - 0.375)","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.0125)","0.176 (0.17 - 0.182)",0.75,1,0.8,2.25,0.375,5,0.0125,0.182,0.917,1,0.333,2.25,0.375,1e+06,1e-06,0.055,12.7109113662445,-19.5212803008908,13.0942895471981,-23.7982268573624,0.0292782727594156,0.179717026066941,0.00526180410869891,-9.42995998437903e-06,7,0.733333333333333,0.258858465367615,0.0405372243276743,6,0.416666666666667,0.492201262452445,"results_get_calibration_drugs/tms_metrics_4_188.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-nitrendipine-ondansetron-ranolazine-risperidone","1    (1    - 1   )","1    (0.9  - 1   )","1    (1    - 1   )","1e+06 (2    - 1e+06)","1e-06 (1e-06 - 0.2 )","5    (5    - 1e+06)","1.25e-06 (1e-06 - 0.0125)","0.0958 (0.0909 - 0.101)",1,0.9,1,2,0.2,5,0.0125,0.101,1,1,0.385,8e+05,0.2,1e+06,1e-06,0.00869,18.8654257488737,-17.0027113767198,14.0273770609178,-26.3540409017014,0.344900451948026,0.35483475038463,0.122382665774524,-2.07651994166948e-06,7,0.866666666666667,0.364528603943431,0,3,0.666666666666667,0.759819417715414,"results_get_calibration_drugs/tms_metrics_4_189.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-diltiazem-metoprolol-nitrendipine-ondansetron-quinidine","0.867 (0.733 - 1   )","1    (0.933 - 1   )","0.875 (0.75 - 1   )","3    (2.4  - 8e+05)","0.2  (1.5e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.232 (0.225 - 0.238)",0.733,0.933,0.75,2.4,0.3,5,0.333,0.238,0.933,1,0.312,2.4,0.3,1e+06,1e-06,0.0556,12.2215749763557,-17.0278788686812,13.0772277235866,-21.0899360335471,0.0654307445979286,0.192606424144888,0.0126023817461445,-8.37752663521653e-06,8,0.6,0,0.252957798747647,1,0,0.252957798747647,"results_get_calibration_drugs/tms_metrics_4_190.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-diltiazem-droperidol-nitrendipine-ondansetron-quinidine-tamoxifen-verapamil","0.958 (0.875 - 1   )","1    (1    - 1   )","0.96 (0.88 - 1   )","4    (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.14 (0.135 - 0.145)",0.875,1,0.88,3.33,0.222,667000,0.333,0.145,0.958,1,0.36,3.33,0.222,1e+06,1e-06,0.0388,14.6791918215493,-18.3619297740332,15.3497176162499,-22.701693519361,0.0436832658074915,0.191164757890271,0.00835070093194545,-4.92016554796612e-06,10,0.7,0.173624631632131,0.079993241207053,7,0.206896551724138,0.281692411086174,"results_get_calibration_drugs/tms_metrics_4_191.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-diltiazem-metoprolol-nitrendipine-ondansetron-quinidine","0.867 (0.733 - 1   )","1    (0.933 - 1   )","0.875 (0.75 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.231 (0.225 - 0.238)",0.733,0.933,0.75,2.4,0.3,5,0.333,0.238,0.933,1,0.312,2.4,0.3,1e+06,1e-06,0.0556,12.6754820925059,-17.617832605135,13.5532571570196,-21.8510704710797,0.0647648793455566,0.193731372179108,0.012546988944629,-8.36406683346361e-06,8,0.6,0,0.253223730367054,1,0,0.253223730367054,"results_get_calibration_drugs/tms_metrics_4_193.csv","calibration_drugs.csv"
"azimilide-bepridil-clozapine-metoprolol-nitrendipine-ondansetron-quinidine-verapamil","0.933 (0.8  - 1   )","1    (1    - 1   )","0.938 (0.812 - 1   )","8e+05 (2.4  - 1e+06)","0.2  (1e-06 - 0.3 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.00833)","0.196 (0.19 - 0.203)",0.8,1,0.812,2.4,0.3,5,0.00833,0.203,0.933,1,0.312,2.4,0.3,1e+06,1e-06,0.0578,12.9198308681032,-17.7927644742143,13.4900068436077,-21.81491900937,0.0422665445699682,0.184376322159531,0.00779295003820263,-8.30503676268408e-06,8,0.766666666666667,0.064358586244305,0.0210323324035063,5,0.666666666666667,0.670096135695574,"results_get_calibration_drugs/tms_metrics_4_194.csv","calibration_drugs.csv"
"azimilide-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-quinidine-sotalol-verapamil","1    (0.958 - 1   )","1    (0.952 - 1   )","1    (0.952 - 1   )","8.33e+05 (3.33 - 1e+06)","0.167 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0981 (0.094 - 0.102)",0.958,0.952,0.952,3.33,0.222,7,0.333,0.102,0.958,1,0.333,4,0.167,7,0.333,0.0193,11.0933128539933,-11.8648030939347,11.8110516603615,-15.1201624068192,0.060768408013741,0.215299229287135,0.0130833914103646,-3.38651983029845e-06,10,0.8,0.11712535950531,0.126986570333732,156,0.127782357790602,0.214877336745636,"results_get_calibration_drugs/tms_metrics_4_195.csv","calibration_drugs.csv"
"azimilide-bepridil-chlorpromazine-diltiazem-droperidol-loratadine-nitrendipine-ondansetron-sotalol-tamoxifen","1    (0.958 - 1   )","1    (1    - 1   )","1    (0.96 - 1   )","8.33e+05 (3.33 - 1e+06)","1.33e-06 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0677 (0.0642 - 0.0711)",0.958,1,0.96,3.33,0.222,7,0.333,0.0711,1,1,0.32,833000,1.33e-06,667000,1.17e-06,0.00956,11.8215152230206,-10.8043358522009,11.6215166430097,-13.3880323893842,0.0172093355931478,0.192985530811232,0.00332115276435225,-1.18179520399569e-06,10,0.8,0.000349684337294225,0.025425900445558,5,0.0191387559808612,0.0318259433968284,"results_get_calibration_drugs/tms_metrics_4_196.csv","calibration_drugs.csv"
