"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","tms_name","metrics_name"
"astemizole-azimilide-bepridil-diltiazem-metoprolol-nitrendipine-quinidine-risperidone-terfenadine-vandetanib-verapamil","0.893 (0.786 - 0.964)","1    (1    - 1   )","0.906 (0.875 - 0.969)","3.43 (3.43 - 8.57e+05)","0.19 (0.143 - 0.19)","1e+06 (7.5e+05 - 1e+06)","1e-06 (1e-06 - 0.25)","0.173 (0.168 - 0.178)",0.786,1,0.875,3.43,0.19,750000,0.25,0.178,0.964,1,0.312,3.43,0.19,1e+06,1e-06,0.0771,8.11182609023309,-14.9538463326737,8.11182596129211,-14.9538464512204,1.58954327579721e-08,7.92750761010049e-09,1.26011164154665e-16,-6.18241630728396e-06,11,0.7,"tms_metrics_4_156.csv","summary_tms_11_metrics.csv"
"astemizole-azimilide-metoprolol-nitrendipine-quinidine-risperidone-terfenadine-vandetanib-verapamil","0.778 (0.667 - 1   )","1    (1    - 1   )","0.875 (0.833 - 1   )","2.5  (2.5  - 8.33e+05)","0.25 (0.167 - 0.25)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.211 (0.205 - 0.217)",0.667,1,0.833,2.5,0.25,667000,0.333,0.217,0.944,1,0.333,2.5,0.25,1e+06,1e-06,0.0812,8.44973333962204,-18.1765935951911,8.44973320291991,-18.1765937102894,1.61782773099114e-08,6.33222617389193e-09,1.02444511030303e-16,-7.8942586870837e-06,9,NA,"tms_metrics_4_158.csv","summary_tms_9_metrics.csv"
"astemizole-azimilide-diltiazem-dofetilide-droperidol-metoprolol-nitrendipine-risperidone-terfenadine-vandetanib-verapamil","0.786 (0.714 - 1   )","1    (1    - 1   )","0.886 (0.857 - 1   )","3.43 (3.43 - 8.57e+05)","0.19 (1.33e-06 - 0.19)","1e+06 (1e+06 - 1e+06)","1e-06 (1e-06 - 1e-06)","0.153 (0.149 - 0.158)",0.714,1,0.857,3.43,0.19,1e+06,1e-06,0.158,0.964,1,0.371,3.43,0.19,1e+06,1e-06,0.0575,8.56466196177617,-17.6751011463042,8.56466184787921,-17.6751012473293,1.32984775108607e-08,5.71567593858888e-09,7.60097879286921e-17,-4.92131173330876e-06,11,NA,"tms_metrics_4_162.csv","summary_tms_11_metrics.csv"
"astemizole-azimilide-bepridil-diltiazem-metoprolol-nitrendipine-quinidine-ranolazine-risperidone-terfenadine-vandetanib","0.893 (0.857 - 0.964)","1    (1    - 1   )","0.906 (0.875 - 0.969)","3.43 (1.71 - 8.57e+05)","0.19 (0.143 - 0.286)","1e+06 (7.5e+05 - 1e+06)","1e-06 (1e-06 - 0.25)","0.171 (0.166 - 0.176)",0.857,1,0.875,1.71,0.286,750000,0.25,0.176,0.929,1,0.312,1.71,0.286,1e+06,1e-06,0.104,5.95479549630548,-16.0029120876607,5.95479539229352,-16.0029121982106,1.74669234861588e-08,6.90811215897702e-09,1.20663466514655e-16,-8.87029700317734e-06,11,NA,"tms_metrics_4_165.csv","summary_tms_11_metrics.csv"
"azimilide-cisapride-droperidol-nifedipine-nitrendipine-quinidine-ranolazine-vandetanib","1    (0.933 - 1   )","1    (1    - 1   )","1    (0.944 - 1   )","1e+06 (3    - 1e+06)","1e-06 (1e-06 - 0.2 )","1e+06 (5    - 1e+06)","1e-06 (1e-06 - 0.333)","0.0551 (0.0515 - 0.0586)",0.933,1,0.944,3,0.2,5,0.333,0.0586,1,1,0.278,3,0.2,1e+06,1e-06,0.0122,1.27839401803619,-13.1890469758044,1.27839387286654,-13.1890470856521,1.13556277697976e-07,8.32870490642885e-09,9.45776727218933e-16,-1.66897591101145e-06,8,0.8,"tms_metrics_4_173.csv","summary_tms_8_metrics.csv"
"azimilide-clozapine-diltiazem-dofetilide-droperidol-loratadine-vandetanib-verapamil","1    (0.933 - 1   )","1    (0.867 - 1   )","0.947 (0.789 - 1   )","3    (2.4  - 1e+06)","1.5e-06 (1e-06 - 0.3 )","5    (5    - 1e+06)","1.25e-06 (1e-06 - 0.333)","0.222 (0.215 - 0.228)",0.933,0.867,0.789,2.4,0.3,5,0.333,0.228,1,1,0.316,1e+06,1e-06,1e+06,1e-06,0.00141,9.23685514964387,-8.35413372708458,9.23685503049276,-8.35413378611812,1.28995321613123e-08,7.06638680129203e-09,9.11530838075391e-17,-1.80772810580999e-07,8,0.633333333333333,"tms_metrics_4_174.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-quinidine-terfenadine-verapamil","0.964 (0.857 - 1   )","1    (0.958 - 1   )","0.969 (0.875 - 1   )","3.43 (3.43 - 8.57e+05)","0.19 (1.33e-06 - 0.19)","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.172 (0.167 - 0.177)",0.857,0.958,0.875,3.43,0.19,667000,0.333,0.177,0.964,1,0.406,3.43,0.19,667000,0.333,0.0415,7.7340497533972,-12.6263210721099,7.73404959380533,-12.6263212011241,2.06349686975911e-08,1.02178773954216e-08,2.10845580210347e-16,-4.92929594990311e-06,11,0.733333333333333,"tms_metrics_4_175.csv","summary_tms_11_metrics.csv"
"astemizole-azimilide-bepridil-diltiazem-dofetilide-droperidol-metoprolol-nitrendipine-risperidone-verapamil","0.958 (0.875 - 1   )","1    (0.952 - 1   )","0.966 (0.897 - 1   )","3.33 (3.33 - 1e+06)","0.222 (1e-06 - 0.222)","1e+06 (7    - 1e+06)","1e-06 (1e-06 - 0.333)","0.175 (0.169 - 0.18)",0.875,0.952,0.897,3.33,0.222,7,0.333,0.18,0.958,1,0.379,3.33,0.222,667000,0.333,0.0685,7.1599472122361,-11.3079516128698,7.15994688290948,-11.3079517821355,4.59956788671189e-08,1.49687350224704e-08,6.88497129140543e-16,-6.94024473886722e-06,10,0.7,"tms_metrics_4_176.csv","summary_tms_10_metrics.csv"
"bepridil-cisapride-clozapine-diltiazem-metoprolol-nitrendipine-quinidine-vandetanib","0.667 (0.533 - 1   )","1    (1    - 1   )","0.844 (0.75 - 1   )","2.4  (2.4  - 8e+05)","0.3  (1.5e-06 - 0.3 )","1e+06 (6.67e+05 - 1e+06)","1e-06 (1e-06 - 0.333)","0.223 (0.216 - 0.229)",0.533,1,0.75,2.4,0.3,667000,0.333,0.229,0.933,1,0.312,2.4,0.3,1e+06,1e-06,0.0845,6.21441915239509,-15.5539387796164,6.2144189736118,-15.5539389643892,2.87691076795986e-08,1.18794839156756e-08,3.4176215194813e-16,-9.73530782677019e-06,8,NA,"tms_metrics_4_177.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-clozapine-diltiazem-droperidol-metoprolol-nitrendipine-quinidine-verapamil","0.875 (0.833 - 0.958)","1    (0.905 - 1   )","0.897 (0.828 - 0.966)","3.33 (3.33 - 4   )","0.222 (1.33e-06 - 0.222)","1e+06 (4.67 - 1e+06)","1e-06 (1e-06 - 0.389)","0.238 (0.232 - 0.243)",0.833,0.905,0.828,3.33,0.222,4.67,0.389,0.243,0.917,0.952,0.379,3.33,0.222,667000,0.333,0.118,8.1945826747807,-16.9150131841682,8.19460808697869,-16.9149893189832,3.10108765608937e-06,1.4108897482e-06,4.37529278224604e-12,-1.17306770808052e-05,10,0.633333333333333,"tms_metrics_4_181.csv","summary_tms_10_metrics.csv"
"azimilide-clozapine-droperidol-loratadine-metoprolol-nitrendipine-quinidine","0.583 (0.583 - 0.917)","1    (1    - 1   )","0.812 (0.75 - 0.938)","2.25 (2.25 - 7.5e+05)","0.375 (1.5e-06 - 0.375)","1e+06 (5e+05 - 1e+06)","1e-06 (1e-06 - 0.5 )","0.289 (0.281 - 0.296)",0.583,1,0.75,2.25,0.375,5e+05,0.5,0.296,0.833,1,0.312,2.25,0.375,1e+06,1e-06,0.145,6.17868190186257,-25.5468120727928,6.17871083681166,-25.5467802233668,4.68300748396826e-06,1.24670998409304e-06,5.83835218584563e-12,-1.90005157373617e-05,7,NA,"tms_metrics_4_182.csv","summary_tms_7_metrics.csv"
"azimilide-dofetilide-droperidol-metoprolol-ondansetron-quinidine-ranolazine-risperidone-verapamil","0.833 (0.722 - 0.944)","1    (0.944 - 1   )","0.842 (0.737 - 0.947)","2.5  (1.25 - 8.33e+05)","0.25 (0.167 - 0.5 )","6.67e+05 (6.67e+05 - 1e+06)","0.333 (1e-06 - 0.333)","0.29 (0.283 - 0.297)",0.722,0.944,0.737,1.25,0.5,667000,0.333,0.297,0.833,1,0.368,1.5,0.25,1e+06,1e-06,0.142,6.76182753577224,-18.7368742837107,6.76186372563101,-18.7368385069453,5.35205384806438e-06,1.90943447668916e-06,1.0219396138591e-11,-1.7357797433926e-05,9,NA,"tms_metrics_4_184.csv","summary_tms_9_metrics.csv"
"azimilide-bepridil-clozapine-droperidol-metoprolol-nitrendipine-ranolazine","0.833 (0.667 - 1   )","1    (0.8  - 1   )","0.867 (0.733 - 1   )","2.25 (1.12 - 7.5e+05)","0.375 (1.5e-06 - 0.75)","5e+05 (2.5  - 1e+06)","1.25e-06 (1e-06 - 0.625)","0.369 (0.361 - 0.377)",0.667,0.8,0.733,1.12,0.75,2.5,0.625,0.377,0.833,0.9,0.333,1.5,0.375,5,0.5,0.194,5.69791404717083,-14.6651174182088,5.69794698706126,-14.6650850007026,5.78101033705316e-06,2.21052289538293e-06,1.27790557085014e-11,-2.77879430550583e-05,7,NA,"tms_metrics_4_188.csv","summary_tms_7_metrics.csv"
