"drug_pair","AUC1","AUC2","Pairwise","LR1plus","LR1minus","LR2plus","LR2minus","Mean_error","AUC1_LOOCV","AUC2_LOOCV","Pairwise_LOOCV","LR1plus_LOOCV","LR1minus_LOOCV","LR2plus_LOOCV","LR2minus_LOOCV","Mean_error_LOOCV","AUC1_training","AUC2_training","Pairwise_training","LR1plus_training","LR1minus_training","LR2plus_training","LR2minus_training","Mean_error_training","Threshold1","Threshold2","Th1_ref","Th2_ref","Th1_changes","Th2_changes","Th_changes_overall","Normalized_logLik","number_of_drugs","Rank_score_LOOCV","tms_name","metrics_name"
"azimilide-cisapride-dofetilide-droperidol-ranolazine-verapamil","1    (1    - 1   )","1    (0.875 - 1   )","1    (0.857 - 1   )","1e+06 (2    - 1e+06)","1e-06 (1e-06 - 2e-06)","1e+06 (4    - 1e+06)","1e-06 (1e-06 - 0.5 )","0.037 (0.0336 - 0.0404)",1,0.875,0.857,2,2e-06,4,0.5,0.0404,1,1,0.286,1e+06,1e-06,5e+05,1.33e-06,0.00904,6.61953376360471,-22.5196621747818,6.61953360912708,-22.5196620211359,2.33366331007825e-08,6.82274384063743e-09,1.59219869749579e-16,-1.96905755609547e-06,6,NA,"tms_metrics_7_79.csv","summary_tms_6_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.611 (0.611 - 0.611)","0.833 (0.778 - 1   )","0.682 (0.636 - 0.818)","2.5  (1.25 - 2.5 )","0.25 (0.25 - 0.5 )","6    (2    - 1e+06)","1.2e-06 (1e-06 - 0.5 )","0.371 (0.362 - 0.381)",0.611,0.778,0.636,1.25,0.5,2,0.5,0.381,0.667,0.833,0.409,2.5,0.25,4,0.4,0.33,8.38910443862956,-23.8176886713096,8.38910443646249,-23.8176886722498,2.58319385459574e-10,3.94732561662763e-11,1.01967072749608e-20,-4.16276230127862e-05,9,NA,"tms_metrics_7_8.csv","summary_tms_9_metrics.csv"
"astemizole-azimilide-bepridil-droperidol-metoprolol-nitrendipine-ranolazine-risperidone-vandetanib-verapamil","0.708 (0.708 - 0.708)","0.857 (0.762 - 1   )","0.774 (0.71 - 0.871)","3.33 (2.67 - 3.33)","0.222 (0.222 - 0.333)","4.67 (1.56 - 1e+06)","0.333 (1e-06 - 0.778)","0.402 (0.393 - 0.411)",0.708,0.762,0.71,2.67,0.333,1.56,0.778,0.411,0.75,0.857,0.419,3.33,0.222,3.5,0.389,0.312,7.39356576043049,-19.8243643645003,7.43118782335004,-19.8416811368924,0.00506272534268761,0.000872747237123246,4.41847955514445e-06,-3.42608228696194e-05,10,NA,"tms_metrics_7_81.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-diltiazem-droperidol-metoprolol-nitrendipine-risperidone-vandetanib-verapamil","0.75 (0.75 - 0.75)","0.857 (0.81 - 1   )","0.806 (0.774 - 0.935)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","7    (2.33 - 1e+06)","1.17e-06 (1e-06 - 0.467)","0.352 (0.343 - 0.361)",0.75,0.81,0.774,3.33,0.222,2.33,0.467,0.361,0.75,0.857,0.419,3.33,0.222,4.64,0.389,0.276,11.6483245975449,-21.04211416672,11.648323249925,-21.0421131017852,1.15692176242964e-07,5.06096886582861e-08,5.85514501985596e-15,-3.24961875197108e-05,10,0.433333333333333,"tms_metrics_7_83.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.708 (0.708 - 0.75)","0.857 (0.81 - 1   )","0.731 (0.692 - 0.846)","3.33 (3.33 - 3.33)","0.222 (0.222 - 0.222)","7    (2.33 - 6.67e+05)","1.17e-06 (1.17e-06 - 0.667)","0.346 (0.337 - 0.355)",0.708,0.81,0.692,3.33,0.222,2.33,0.667,0.355,0.75,0.857,0.385,3.33,0.222,4.67,0.389,0.304,7.19974448073222,-20.1980627726717,7.19370383130474,-20.2544116033186,0.000839713389533334,0.00278205221412921,2.33612649458516e-06,-3.47517409099964e-05,10,NA,"tms_metrics_7_84.csv","summary_tms_10_metrics.csv"
"astemizole-bepridil-cisapride-diltiazem-metoprolol-risperidone-vandetanib-verapamil","0.667 (0.6  - 0.667)","0.833 (0.667 - 1   )","0.688 (0.625 - 0.75)","2.4  (2.4  - 2.4 )","0.3  (0.3  - 0.3 )","3    (6e-06 - 5e+05)","0.6  (1.2e-06 - 1.2 )","0.537 (0.527 - 0.548)",0.6,0.667,0.625,2.4,0.3,6e-06,1.2,0.548,0.667,0.833,0.438,2.4,0.3,3,0.6,0.306,13.4077822678146,-29.0523660930883,13.4239734656838,-29.0352396478734,0.00120614048519973,0.000589850313709578,7.11442343572885e-07,-4.61669324191308e-05,8,NA,"tms_metrics_7_85.csv","summary_tms_8_metrics.csv"
"astemizole-azimilide-bepridil-diltiazem-droperidol-metoprolol-nitrendipine-risperidone-vandetanib-verapamil","0.708 (0.667 - 0.75)","0.857 (0.762 - 1   )","0.774 (0.742 - 0.903)","3.33 (2.64 - 3.33)","0.222 (0.222 - 0.333)","7    (2.33 - 1e+06)","1.4e-06 (1e-06 - 0.669)","0.343 (0.334 - 0.351)",0.667,0.762,0.742,2.64,0.333,2.33,0.669,0.351,0.75,0.857,0.419,3.33,0.222,3.5,0.389,0.285,6.97015115040955,-20.8374180953748,6.97141750734504,-20.8364131550543,0.000181649848708106,4.82300054743617e-05,8.7609731976089e-09,-3.17852028396812e-05,10,NA,"tms_metrics_7_86.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-dofetilide-droperidol-loratadine-nitrendipine-ranolazine-risperidone","0.964 (0.893 - 1   )","1    (1    - 1   )","0.969 (0.906 - 1   )","8.57e+05 (3.43 - 1e+06)","0.143 (1e-06 - 0.19)","1e+06 (8    - 1e+06)","1e-06 (1e-06 - 0.333)","0.116 (0.112 - 0.12)",0.893,1,0.906,3.43,0.19,8,0.333,0.12,0.964,1,0.406,4,0.143,8,0.333,0.0418,20.7499163027562,-25.9631830311499,20.7138553543161,-25.9653525824623,0.00174090954210335,8.35556268863415e-05,1.4546278814286e-07,-4.63678650594815e-06,11,0.8,"tms_metrics_7_87.csv","summary_tms_11_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-diltiazem-metoprolol-nitrendipine-ranolazine-risperidone-vandetanib","0.667 (0.583 - 0.708)","0.857 (0.762 - 0.952)","0.714 (0.679 - 0.786)","2.67 (1.33 - 3.33)","0.333 (0.222 - 0.667)","4.67 (2.33 - 7   )","0.389 (1.17e-06 - 0.778)","0.479 (0.47 - 0.489)",0.583,0.762,0.679,1.33,0.667,2.33,0.778,0.489,0.708,0.857,0.393,1.67,0.333,4.67,0.389,0.337,2.82392115911469,-23.014085858705,2.91522306185393,-22.8069047695364,0.03131901086196,0.00908413882822576,0.000284506242632755,-3.8433818820948e-05,10,NA,"tms_metrics_7_88.csv","summary_tms_10_metrics.csv"
"astemizole-azimilide-bepridil-cisapride-metoprolol-ranolazine-risperidone-vandetanib-verapamil","0.611 (0.611 - 0.667)","0.833 (0.778 - 0.833)","0.682 (0.636 - 0.727)","2.5  (1.25 - 2.5 )","0.25 (0.25 - 0.5 )","4    (2    - 6   )","1.5e-06 (1.2e-06 - 0.67)","0.438 (0.428 - 0.448)",0.611,0.778,0.636,1.25,0.5,2,0.67,0.448,0.667,0.833,0.455,2.5,0.25,6,1.2e-06,0.335,8.41830226511357,-22.3525504175421,8.41830233252682,-22.3525504375486,8.00793819244912e-09,8.95041986475465e-10,7.1674409073424e-18,-4.76992193856623e-05,9,NA,"tms_metrics_7_9.csv","summary_tms_9_metrics.csv"
